CASRN,Name,Hazard class,Category,H-statement,M-factor
75-57-0,"Tetramethylammonium chloride ; N,N,N-Trimethyl methanaminium chloride",Hazardous to the aquatic environment (chronic),Category 2,H411 - Toxic to aquatic life with long lasting effects,0
73602-61-6,Triethylammonium fluoride,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
73602-61-6,Triethylammonium fluoride,Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,0
57214-10-5,"Formaldehyde polymer with 1,3-benzenedimethanamine and phenol",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
57214-10-5,"Formaldehyde polymer with 1,3-benzenedimethanamine and phenol",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
5350-57-2,Benzophenone hydrazone,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
553664-68-9,"Reaction products of epichlorohydrin, 2-mercaptoethanol, sodium sulfide and thiourea",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
553664-68-9,"Reaction products of epichlorohydrin, 2-mercaptoethanol, sodium sulfide and thiourea",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
553664-68-9,"Reaction products of epichlorohydrin, 2-mercaptoethanol, sodium sulfide and thiourea",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
553664-68-9,"Reaction products of epichlorohydrin, 2-mercaptoethanol, sodium sulfide and thiourea",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
553664-68-9,"Reaction products of epichlorohydrin, 2-mercaptoethanol, sodium sulfide and thiourea",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
NA,"Mixture of 3a,4,4a,5,8,8a,9,9a-Octahydro-4,9:5,8-dimethano-1H-benz[f]indene(7158-25-0) and 4,4a,4b,5,8,8a,9,9a-Octahydro-1,4:5,8-dimethano-1H-fluorene(35184-08-8)",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
NA,"Mixture of 3a,4,4a,5,8,8a,9,9a-Octahydro-4,9:5,8-dimethano-1H-benz[f]indene(7158-25-0) and 4,4a,4b,5,8,8a,9,9a-Octahydro-1,4:5,8-dimethano-1H-fluorene(35184-08-8)",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
NA,N-Ethyl-N'-[(1-diethylamino)propylidene]thiourea,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
214534-44-8,"Diphenyl iodonium salt with 7,7-dimethyl-2-oxobicyclo[2.2.1]heptane-1-methanesulfonic acid(1:1)",Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
"119530-69-7, 119530-70-0","Dodecyl or tetradecyl N-(2,2,6,6-tetramethyl-4-piperidinyl)-β-alanine",Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
"119530-69-7, 119530-70-0","Dodecyl or tetradecyl N-(2,2,6,6-tetramethyl-4-piperidinyl)-β-alanine",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
"119530-69-7, 119530-70-0","Dodecyl or tetradecyl N-(2,2,6,6-tetramethyl-4-piperidinyl)-β-alanine",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
"119530-69-7, 119530-70-0","Dodecyl or tetradecyl N-(2,2,6,6-tetramethyl-4-piperidinyl)-β-alanine",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
119530-69-7,"Dodecyl N-(2,2,6,6-tetramethyl-4-piperidinyl)-β-alanine",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
21806-61-1,"5H-1,2-Oxathiole, 2,2-dioxide",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
68555-36-2,"N,N'-Bis[3-(dimethylamino)propyl]urea polymer with 1,1'-oxybis[2-chloroethane]",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
68555-36-2,"N,N'-Bis[3-(dimethylamino)propyl]urea polymer with 1,1'-oxybis[2-chloroethane]",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
81741-28-8,Tributyltetradecylphosphonium chloride,Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
81741-28-8,Tributyltetradecylphosphonium chloride,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
81741-28-8,Tributyltetradecylphosphonium chloride,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
81741-28-8,Tributyltetradecylphosphonium chloride,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
81741-28-8,Tributyltetradecylphosphonium chloride,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
122454-29-9,4-Bromo-2-(4-chlorophenyl)-5-(trifluoromethyl)-1H-pyrrole-3-carbonitrile,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,100
122454-29-9,4-Bromo-2-(4-chlorophenyl)-5-(trifluoromethyl)-1H-pyrrole-3-carbonitrile,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
122454-29-9,4-Bromo-2-(4-chlorophenyl)-5-(trifluoromethyl)-1H-pyrrole-3-carbonitrile,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
122454-29-9,4-Bromo-2-(4-chlorophenyl)-5-(trifluoromethyl)-1H-pyrrole-3-carbonitrile,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
13292-87-0,Dimethyl sulfide borane,Flammable liquids,Category 1,H224 - Extremely flammable liquid and vapour,
13292-87-0,Dimethyl sulfide borane,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
13292-87-0,Dimethyl sulfide borane,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
13292-87-0,Dimethyl sulfide borane,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
163269-30-5,Bethoxazin,Serious eye damage/irritation,Category 1,H318 - Causes serious eye damage,10
163269-30-5,Bethoxazin,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
163269-30-5,Bethoxazin,Acute toxicity (inhalation),Category 3,H331 - Toxic if inhaled,
163269-30-5,Bethoxazin,Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
163269-30-5,Bethoxazin,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
163269-30-5,Bethoxazin,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
25307-17-9,"2,2'-(9-Octadecenylimino)bisethanol",Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
25307-17-9,"2,2'-(9-Octadecenylimino)bisethanol",Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
25307-17-9,"2,2'-(9-Octadecenylimino)bisethanol",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
354-32-5,Trifluoroacetyl chloride,Acute toxicity (inhalation),Category 1,H330 - Fatal if inhaled,
354-32-5,Trifluoroacetyl chloride,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
354-32-5,Trifluoroacetyl chloride,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
874299-51-1,"3-(Hydroxy-kO)-4-2-(hydroxy-kO)-1-naphthalenylazo-kN1-7-nitro-1-naphthalenesulfonato(3-)4-(hydroxy-kO)-3-2-(hydroxy-kO)-5-nitrophenylazo-kN1-7-(phenylamino)-2-naphthalenesulfonato(3-)chromate(3-), sodium dihydrogen",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
874299-51-1,"3-(Hydroxy-kO)-4-2-(hydroxy-kO)-1-naphthalenylazo-kN1-7-nitro-1-naphthalenesulfonato(3-)4-(hydroxy-kO)-3-2-(hydroxy-kO)-5-nitrophenylazo-kN1-7-(phenylamino)-2-naphthalenesulfonato(3-)chromate(3-), sodium dihydrogen",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
874299-51-1,"3-(Hydroxy-kO)-4-2-(hydroxy-kO)-1-naphthalenylazo-kN1-7-nitro-1-naphthalenesulfonato(3-)4-(hydroxy-kO)-3-2-(hydroxy-kO)-5-nitrophenylazo-kN1-7-(phenylamino)-2-naphthalenesulfonato(3-)chromate(3-), sodium dihydrogen",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
874299-51-1,"3-(Hydroxy-kO)-4-2-(hydroxy-kO)-1-naphthalenylazo-kN1-7-nitro-1-naphthalenesulfonato(3-)4-(hydroxy-kO)-3-2-(hydroxy-kO)-5-nitrophenylazo-kN1-7-(phenylamino)-2-naphthalenesulfonato(3-)chromate(3-), sodium dihydrogen",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
874299-52-2,"3-(hydroxy-kO)-4-2-(hydroxy-kO)-1-naphthalenylazo-kN1-7-nitro-1-naphthalenesulfonato(3-)4-(hydroxy-kO)-3-2-(hydroxy-kO)-5-nitrophenylazo-kN1-8-(2-hydroxy-5-nitrophenyl)azo-7-(phenylamino)-2-naphthalenesulfonato(3-)chromate(3-), sodium dihydrogen",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
874299-52-2,"3-(hydroxy-kO)-4-2-(hydroxy-kO)-1-naphthalenylazo-kN1-7-nitro-1-naphthalenesulfonato(3-)4-(hydroxy-kO)-3-2-(hydroxy-kO)-5-nitrophenylazo-kN1-8-(2-hydroxy-5-nitrophenyl)azo-7-(phenylamino)-2-naphthalenesulfonato(3-)chromate(3-), sodium dihydrogen",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
874299-52-2,"3-(hydroxy-kO)-4-2-(hydroxy-kO)-1-naphthalenylazo-kN1-7-nitro-1-naphthalenesulfonato(3-)4-(hydroxy-kO)-3-2-(hydroxy-kO)-5-nitrophenylazo-kN1-8-(2-hydroxy-5-nitrophenyl)azo-7-(phenylamino)-2-naphthalenesulfonato(3-)chromate(3-), sodium dihydrogen",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
874299-52-2,"3-(hydroxy-kO)-4-2-(hydroxy-kO)-1-naphthalenylazo-kN1-7-nitro-1-naphthalenesulfonato(3-)4-(hydroxy-kO)-3-2-(hydroxy-kO)-5-nitrophenylazo-kN1-8-(2-hydroxy-5-nitrophenyl)azo-7-(phenylamino)-2-naphthalenesulfonato(3-)chromate(3-), sodium dihydrogen",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
874299-53-3,"μ-4-(Hydroxy-kO)-3,8-bis2-(hydroxy-kO)-5-nitrophenylazo-kN1-7-(phenylamino-kN)-2-naphthalenesulfonato(5-)bis3-(hydroxy-kO)-4-2-(hydroxy-kO)-1-naphthalenylazo-kN1-7-nitro-1-naphthalenesulfonato(3-)dichromate(5-), disodium trihydrogen",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
874299-53-3,"μ-4-(Hydroxy-kO)-3,8-bis2-(hydroxy-kO)-5-nitrophenylazo-kN1-7-(phenylamino-kN)-2-naphthalenesulfonato(5-)bis3-(hydroxy-kO)-4-2-(hydroxy-kO)-1-naphthalenylazo-kN1-7-nitro-1-naphthalenesulfonato(3-)dichromate(5-), disodium trihydrogen",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
874299-53-3,"μ-4-(Hydroxy-kO)-3,8-bis2-(hydroxy-kO)-5-nitrophenylazo-kN1-7-(phenylamino-kN)-2-naphthalenesulfonato(5-)bis3-(hydroxy-kO)-4-2-(hydroxy-kO)-1-naphthalenylazo-kN1-7-nitro-1-naphthalenesulfonato(3-)dichromate(5-), disodium trihydrogen",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
874299-53-3,"μ-4-(Hydroxy-kO)-3,8-bis2-(hydroxy-kO)-5-nitrophenylazo-kN1-7-(phenylamino-kN)-2-naphthalenesulfonato(5-)bis3-(hydroxy-kO)-4-2-(hydroxy-kO)-1-naphthalenylazo-kN1-7-nitro-1-naphthalenesulfonato(3-)dichromate(5-), disodium trihydrogen",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
131013-83-7,"N,N,N-Trimethylmethanaminium salt with 3,3'-6-(2-hydroxyethyl)amino-1,3,5-triazine-2,4-diylbisimino (2-methyl-4,1-phenylene)azobis1,5-naphthalenedisulfonic acid (4:1)",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
173010-79-2,"Quaternary ammonium compounds, coco alkyl(2,3-dihydroxypropyl)dimethyl, 3-phosphates (esters), chlorides, sodium salts",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
173010-79-2,"Quaternary ammonium compounds, coco alkyl(2,3-dihydroxypropyl)dimethyl, 3-phosphates (esters), chlorides, sodium salts",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
116340-05-7,"N,N,N-Trimethylmethanaminium salt with 6-amino-4-hydroxy-3-7-sulfo-4-(4-sulfophenyl)azo-1-naphthalenylazo-2,7-naphthalenedisulfonic acid(4:1)",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
116340-05-7,"N,N,N-Trimethylmethanaminium salt with 6-amino-4-hydroxy-3-7-sulfo-4-(4-sulfophenyl)azo-1-naphthalenylazo-2,7-naphthalenedisulfonic acid(4:1)",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
328249-37-2,Tetrahydro-2-oxo-3-furanyl 2-propenoate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
30417-37-9,"1,3-Bis(acrylamidomethoxy)methylurea",Flammable liquids,Category 2,H225 - Highly flammable liquid and vapour,
30417-37-9,"1,3-Bis(acrylamidomethoxy)methylurea",Acute toxicity (oral),Category 4,H302 - Harmful if swallowed,
30417-37-9,"1,3-Bis(acrylamidomethoxy)methylurea",Germ cell mutagenicity,Category 2,H341 - Suspected of causing genetic defects,
30417-37-9,"1,3-Bis(acrylamidomethoxy)methylurea",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
478695-70-4,"1-(3,3-Dimethylcyclohexyl)ethyl ethyl malonate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
478695-70-4,"1-(3,3-Dimethylcyclohexyl)ethyl ethyl malonate",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
"148812-65-1, 148788-55-0","N-Decyl-N,N-dimethyl-1-decanaminium, carbonate",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
148812-65-1,"N-Decyl-N,N-dimethyl-1-decanaminium, carbonate",Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
148812-65-1,"N-Decyl-N,N-dimethyl-1-decanaminium, carbonate",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,1
116808-67-4,(4-Methoxyphenyl)diphenylsulfonium trifluoromethanesulfonate,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
161453-44-7,"4-(1,1-Dimethylethoxy)phenyldiphenylsulfonium 4-methylbenzenesulfonate",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
197447-16-8,"Triphenylsulfonium 2,4,6-tris(1-methylethyl)benzenesulfonate",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
98485-71-3,"Bis(2,3-epithiopropyl) disulfide",Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,10
98485-71-3,"Bis(2,3-epithiopropyl) disulfide",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
98485-71-3,"Bis(2,3-epithiopropyl) disulfide",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
98485-71-3,"Bis(2,3-epithiopropyl) disulfide",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
98485-71-3,"Bis(2,3-epithiopropyl) disulfide",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
146058-40-4,"Formaldehyde polymer with dimethylbenzene and 2-ethyl-2-(hydroxymethyl)-1,3-propanediol",Germ cell mutagenicity,Category 2,H341 - Suspected of causing genetic defects,
198404-98-7,"1-Methyl-2-(1,2,2-trimethylbicyclo3.1.0hex-3-yl)methylcyclopropanemethanol",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
198404-98-7,"1-Methyl-2-(1,2,2-trimethylbicyclo3.1.0hex-3-yl)methylcyclopropanemethanol",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
198404-98-7,"1-Methyl-2-(1,2,2-trimethylbicyclo3.1.0hex-3-yl)methylcyclopropanemethanol",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
3100-36-5,8-Cyclohexadecen-1-one,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
3100-36-5,8-Cyclohexadecen-1-one,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
3153-26-2,"Oxobis(pentane-2,4-dionato-O,O')vanadium",Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
3153-26-2,"Oxobis(pentane-2,4-dionato-O,O')vanadium",Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
156105-38-3,"2-Propanone reaction products with 5-amino-1,3,3-trimethylcyclohexanemethanamine, reduced",Acute toxicity (dermal),Category 2,H310 - Fatal in contact with skin,
156105-38-3,"2-Propanone reaction products with 5-amino-1,3,3-trimethylcyclohexanemethanamine, reduced",Skin corrosion/irritation,Category 1,H314 - Causes severe skin burns and eye damage,
156105-38-3,"2-Propanone reaction products with 5-amino-1,3,3-trimethylcyclohexanemethanamine, reduced",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
156105-38-3,"2-Propanone reaction products with 5-amino-1,3,3-trimethylcyclohexanemethanamine, reduced",Specific target organ toxicity - Repeated exposure,Category 2,H373 - May cause damage to organs through prolonged or repeated exposure,
156105-38-3,"2-Propanone reaction products with 5-amino-1,3,3-trimethylcyclohexanemethanamine, reduced",Hazardous to the aquatic environment (chronic),Category 2,H411 - Toxic to aquatic life with long lasting effects,
1702-42-7,Tributylmethylphosphonium iodide,Acute toxicity (oral),Category 3,H301 - Toxic if swallowed,
1702-42-7,Tributylmethylphosphonium iodide,Hazardous to the aquatic environment (chronic),Category 2,H411 - Toxic to aquatic life with long lasting effects,
149057-64-7,Bis(3-dimethylamino-7-hydroxy-8-methyl-5-phenylphenazinium) sulfate,Serious eye damage/irritation,Category 1,H318 - Causes serious eye damage,
149057-64-7,Bis(3-dimethylamino-7-hydroxy-8-methyl-5-phenylphenazinium) sulfate,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
149057-64-7,Bis(3-dimethylamino-7-hydroxy-8-methyl-5-phenylphenazinium) sulfate,Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
149057-64-7,Bis(3-dimethylamino-7-hydroxy-8-methyl-5-phenylphenazinium) sulfate,Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
541-59-3,Maleimide,Acute toxicity (oral),Category 2,H300 - Fatal if swallowed,
541-59-3,Maleimide,Acute toxicity (dermal),Category 3,H311 - Toxic in contact with skin,
541-59-3,Maleimide,Skin corrosion/irritation,Category 2,H315 - Causes skin irritation,
541-59-3,Maleimide,Serious eye damage/irritation,Category 2,H319 - Causes serious eye irritation,
541-59-3,Maleimide,Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
91-97-4,"4,4'- Diisocyanato-3,3'-dimethyl-1,1'-biphenyl",Acute toxicity (inhalation),Category 4,H332 - Harmful if inhaled,
91-97-4,"4,4'- Diisocyanato-3,3'-dimethyl-1,1'-biphenyl",Skin sensitization,Category 1,H317 - May cause an allergic skin reaction,
91-97-4,"4,4'- Diisocyanato-3,3'-dimethyl-1,1'-biphenyl",Hazardous to the aquatic environment (acute),Category 1,H400 - Very toxic to aquatic life,
91-97-4,"4,4'- Diisocyanato-3,3'-dimethyl-1,1'-biphenyl",Hazardous to the aquatic environment (chronic),Category 1,H410 - Very toxic to aquatic life with long lasting effects,
